hour,utility,volatility
338.0,-375.25,0.0
339.0,-372.77500000000003,0.0
340.0,-395.00875,0.0
341.0,-356.077,0.0
342.0,-351.68425,0.0
343.0,-386.04925000000003,0.0
344.0,-377.5,0.0
345.0,-381.25,0.0
346.0,-379.375,0.0
347.0,-377.3125,0.0
348.0,-400.0,0.0
349.0,-373.75,0.0
350.0,-379.375,0.0
351.0,-363.7,0.0
352.0,-385.02625,0.0
353.0,-356.07550000000003,0.0
354.0,-363.76300000000003,0.0
355.0,-360.139,0.0
356.0,-312.30775,0.0
357.0,-327.6535,0.0
358.0,-311.57725,0.0
359.0,-283.61199999999997,0.0
360.0,-400.0,0.0
361.0,-388.75,0.0
362.0,-383.5,0.0
363.0,-372.77500000000003,0.0
364.0,-370.0525,0.0
365.0,-367.057,0.0
366.0,-333.56575,0.0
367.0,-326.92375,0.0
368.0,-379.53775,0.0
369.0,-376.36674999999997,0.0
370.0,-377.5,0.0
371.0,-388.75,0.0
372.0,-400.0,0.0
373.0,-392.5,0.0
374.0,-391.75,0.0
375.0,-363.7,0.0
376.0,-380.035,0.0
377.0,-350.58549999999997,0.0
378.0,-345.6445,0.0
379.0,-376.74925,0.0
380.0,-313.03825,0.0
381.0,-360.61075000000005,0.0
382.0,-381.43075000000005,0.0
383.0,-338.72349999999994,0.0
384.0,-400.0,0.0
385.0,-373.75,0.0
386.0,-379.375,0.0
387.0,-363.7,0.0
388.0,-370.0525,0.0
389.0,-367.05625,0.0
390.0,-345.64525000000003,0.0
391.0,-346.85274999999996,0.0
392.0,-341.53824999999995,0.0
393.0,-287.461,0.0
394.0,-329.26225,0.0
395.0,-291.06325,0.0
396.0,-400.0,0.0
397.0,-381.25,0.0
398.0,-377.5,0.0
399.0,-373.75,0.0
400.0,-381.25,0.0
401.0,-370.0,0.0
402.0,-385.0,0.0
403.0,-396.25,0.0
404.0,-366.25,0.0
405.0,-383.5,0.0
406.0,-381.85,0.0
407.0,-380.035,0.0
408.0,-400.0,0.0
409.0,-388.75,0.0
410.0,-387.625,0.0
411.0,-368.23750000000007,0.0
412.0,-365.06125,0.0
413.0,-367.057,0.0
414.0,-321.48699999999997,0.0
415.0,-373.42674999999997,0.0
416.0,-341.53824999999995,0.0
417.0,-327.6535,0.0
418.0,-320.41975,0.0
419.0,-256.885,0.0
420.0,-400.0,0.0
421.0,-370.0,0.0
422.0,-379.375,0.0
423.0,-363.7,0.0
424.0,-365.06125,0.0
425.0,-361.56624999999997,0.0
426.0,-357.72325,0.0
427.0,-293.70625,0.0
428.0,-384.6535,0.0
429.0,-372.42775,0.0
430.0,-377.5,0.0
431.0,-385.0,0.0
432.0,-399.925,0.0
433.0,-392.5,1.0
434.0,-370.0,1.0
435.0,-388.75,1.0
436.0,-381.25,1.0
437.0,-388.75,1.0
438.0,-388.75,1.0
439.0,116.5,1.0
440.0,-385.0,1.0
441.0,-355.0,1.0
442.0,-381.25,1.0
443.0,-377.5,1.0
444.0,106.9267479591837,1.0
445.0,973.3565,1.0
446.0,389.76349999999996,1.0
447.0,314.74899999999997,1.0
448.0,1225.4756666666667,1.0
449.0,371.2885,1.0
450.0,-388.29324999999994,1.0
451.0,-400.0,1.0
452.0,-400.0,1.0
453.0,-400.0,1.0
454.0,-400.0,1.0
455.0,-400.0,1.0
456.0,-179.33270000000005,1.0
457.0,499.93050000000005,1.0
458.0,499.394,1.0
459.0,-110.51275000000004,1.0
460.0,-34.208500000000015,1.0
461.0,316.11150000000004,1.0
462.0,-179.47375,1.0
463.0,-237.29424999999998,1.0
464.0,-295.8265,1.0
465.0,-357.08875,1.0
466.0,-371.86225,1.0
467.0,-392.5,1.0
468.0,-377.5,0.7
469.0,-385.0,0.7
470.0,-373.75,0.7
471.0,-381.25,0.7
472.0,-392.1625,0.7
473.0,-381.25,0.7
474.0,-385.0,0.7
475.0,-370.0,0.7
476.0,-381.25,0.7
477.0,-377.5,0.7
478.0,-377.5,0.7
479.0,-366.25,0.7
480.0,-385.0,0.7
481.0,-366.25,0.7
482.0,-373.75,0.7
483.0,-392.5,0.7
484.0,120.0,0.7
485.0,113.0625,0.7
486.0,112.6445,0.7
487.0,-365.575,0.7
488.0,-330.57625,0.7
489.0,-357.9985,0.7
490.0,-299.74899999999997,0.7
491.0,184.54999999999995,0.7
492.0,23.87121111111108,0.7
493.0,-1629.4712000000002,0.7
494.0,-1981.0391000000004,0.7
495.0,94.32685999999997,0.7
496.0,857.029,0.7
497.0,-229.957,0.7
498.0,-400.0,0.7
499.0,-400.0,0.7
500.0,-400.0,0.7
501.0,-400.0,0.7
502.0,-400.0,0.7
503.0,-400.0,0.7
504.0,-385.0,0.7
505.0,-388.75,0.7
506.0,-385.0,0.7
507.0,-388.75,0.7
508.0,-381.25,0.7
509.0,-381.25,0.7
510.0,-385.0,0.7
511.0,-381.25,0.7
512.0,-388.75,0.7
513.0,-388.75,0.7
514.0,608.75,0.7
515.0,117.5,0.7
516.0,-370.0,0.7
517.0,-385.0,0.7
518.0,-370.0,0.7
519.0,112.10000000000002,0.7
520.0,-323.134,0.7
521.0,-360.13975000000005,0.7
522.0,-303.538,0.7
523.0,-302.73474999999996,0.7
524.0,240.97199999999998,0.7
525.0,-176.80525,0.7
526.0,-97.56700000000002,0.7
527.0,399.66557441860465,0.7
528.0,1323.9756666666667,0.7
529.0,954.275,0.7
530.0,869.47325,0.7
531.0,-1176.0250999999998,0.7
532.0,-400.0,0.7
533.0,-400.0,0.7
534.0,-400.0,0.7
535.0,-400.0,0.7
536.0,-400.0,0.7
537.0,-400.0,0.7
538.0,-400.0,0.7
539.0,-400.0,0.7
540.0,-400.0,0.7
