hour,opti_function,volatility,event
307.0,-475.9446571545283,0.0,CRASH
308.0,-442.50768172795625,0.0,CRASH
309.0,-453.83922669168334,0.0,CRASH
310.0,-438.31364052857435,0.0,CRASH
311.0,-427.248034266214,0.0,CRASH
312.0,-441.6666666666667,0.0,CRASH
313.0,-434.8969074777263,0.0,CRASH
314.0,-416.95088536663116,0.0,CRASH
315.0,-426.32229962136273,0.0,CRASH
316.0,-391.4488969884477,0.0,CRASH
317.0,-419.3572897463775,0.0,CRASH
318.0,-382.7668159582362,0.0,CRASH
319.0,-385.314708242497,0.0,CRASH
320.0,-423.47986828514735,0.0,CRASH
321.0,-383.8409638902561,0.0,CRASH
322.0,-346.26750538920203,0.0,CRASH
323.0,-301.00879978742853,0.0,CRASH
324.0,-468.6967196125053,0.0,CRASH
325.0,-448.57237928299867,0.0,CRASH
326.0,-423.5607326945498,0.0,CRASH
327.0,-426.83348232145744,0.0,CRASH
328.0,-462.2601169618355,0.0,CRASH
329.0,-456.0166917365436,0.0,CRASH
330.0,-444.9318339507711,0.0,CRASH
331.0,-462.84011020345923,0.0,CRASH
332.0,-461.5705798357428,0.0,CRASH
333.0,-475.20594901371135,0.0,CRASH
334.0,-469.20254385477125,0.0,CRASH
335.0,-498.53212236657686,0.0,CRASH
336.0,-429.0816666666667,0.0,CRASH
337.0,-396.23743044728144,0.0,CRASH
338.0,-403.36458474761577,0.0,CRASH
339.0,-406.93488914392196,0.0,CRASH
340.0,-405.5691186014376,0.0,CRASH
341.0,-410.3535427232374,0.0,CRASH
342.0,-395.00984411679065,0.0,CRASH
343.0,-345.09365280878734,0.0,CRASH
344.0,-406.03471297157125,0.0,CRASH
345.0,-327.2617320147774,0.0,CRASH
346.0,-295.4135314655242,0.0,CRASH
347.0,-293.01856345728874,0.0,CRASH
348.0,-448.08770372875375,0.0,CRASH
349.0,-427.0865135543821,0.0,CRASH
350.0,-442.0455179067382,0.0,CRASH
351.0,-409.1481966578012,0.0,CRASH
352.0,-381.35930547889876,0.0,CRASH
353.0,-417.36372738445505,0.0,CRASH
354.0,-429.21921636168224,0.0,CRASH
355.0,-416.22293962824165,0.0,CRASH
356.0,-457.3108209268146,0.0,CRASH
357.0,-448.18967042731276,0.0,CRASH
358.0,-436.6406714822186,0.0,CRASH
359.0,-462.5947495284077,0.0,CRASH
360.0,-429.0816666666667,0.0,CRASH
361.0,-413.3225242576614,0.0,CRASH
362.0,-431.70136811103583,0.0,CRASH
363.0,-412.15794395802743,0.0,CRASH
364.0,-399.7916732466755,0.0,CRASH
365.0,-384.78560237371676,0.0,CRASH
366.0,-380.86317118321506,0.0,CRASH
367.0,-329.43685628726826,0.0,CRASH
368.0,-404.30095810992196,0.0,CRASH
369.0,-404.8128531645125,0.0,CRASH
370.0,-392.15221043525486,0.0,CRASH
371.0,-405.72826640498755,0.0,CRASH
372.0,-447.99621651604673,0.0,CRASH
373.0,-431.69594818352675,0.0,CRASH
374.0,-411.3819118820742,0.0,CRASH
375.0,-431.81935187478723,0.0,CRASH
376.0,-419.08410750483006,0.0,CRASH
377.0,-438.29388704107464,0.0,CRASH
378.0,-407.53672812422735,0.0,CRASH
379.0,-386.98815144117896,0.0,CRASH
380.0,-371.6150081272041,0.0,CRASH
381.0,-353.2614361332271,0.0,CRASH
382.0,-260.70913523188125,0.0,CRASH
383.0,-393.4685800704693,0.0,CRASH
384.0,-429.1666666666667,0.0,CRASH
385.0,-409.05125080506645,0.0,CRASH
386.0,-401.64720393771154,0.0,CRASH
387.0,-424.4170147613823,0.0,CRASH
388.0,-408.41226413665106,0.0,CRASH
389.0,-414.09329712925467,0.0,CRASH
390.0,-411.0986650699959,0.0,CRASH
391.0,-416.94751264941584,0.0,CRASH
392.0,-416.24242822935753,0.0,CRASH
393.0,-415.3484005638108,0.0,CRASH
394.0,-402.23760950201506,0.0,CRASH
395.0,-406.23591868077324,0.0,CRASH
396.0,-448.08770372875375,0.0,CRASH
397.0,-427.0865135543821,0.0,CRASH
398.0,-442.0455179067382,0.0,CRASH
399.0,-437.4871406790337,0.0,CRASH
400.0,-406.5091734961863,0.0,CRASH
401.0,-417.36372738445505,0.0,CRASH
402.0,-407.53672812422735,0.0,CRASH
403.0,-404.1842291625262,0.0,CRASH
404.0,-409.8123514667806,0.0,CRASH
405.0,-353.261436133227,0.0,CRASH
406.0,-413.9905425392766,0.0,CRASH
407.0,-320.6299819597791,0.0,CRASH
408.0,-429.1666666666667,0.0,CRASH
409.0,-409.05125080506645,0.0,CRASH
410.0,-403.36458474761577,0.0,CRASH
411.0,-375.59656025928933,0.0,CRASH
412.0,-376.6818918276271,0.0,CRASH
413.0,-365.61008369275845,0.0,CRASH
414.0,-380.86317118321506,0.0,CRASH
415.0,-384.24006344094727,0.0,CRASH
416.0,-373.9651406178934,0.0,CRASH
417.0,-409.5169101546114,0.0,CRASH
418.0,-430.71747803340725,0.0,CRASH
419.0,-418.8809102515069,0.0,CRASH
420.0,-448.08770372875375,0.0,CRASH
421.0,-440.91481744181607,0.0,CRASH
422.0,-421.60311389029556,0.0,CRASH
423.0,-426.3857692194765,0.0,CRASH
424.0,-428.46570740759734,0.0,CRASH
425.0,-454.46065077019614,0.0,CRASH
426.0,-435.2990837721848,0.0,CRASH
427.0,-435.0090357129853,0.0,CRASH
428.0,-414.931401174594,0.0,CRASH
429.0,-404.74845619973814,0.0,CRASH
430.0,-384.3567571847943,0.0,CRASH
431.0,-431.2821876818915,0.0,CRASH
432.0,-429.1666666666667,0.0,CRASH
433.0,-413.3225242576614,1.0,NORMAL
434.0,-408.08738197485246,1.0,NORMAL
435.0,-422.60405358623825,1.0,NORMAL
436.0,-417.12400931096175,1.0,NORMAL
437.0,-397.56957254847714,1.0,NORMAL
438.0,-387.93694685127366,1.0,NORMAL
439.0,-352.9247026665642,1.0,NORMAL
440.0,-302.0254333749797,1.0,NORMAL
441.0,-346.457651611153,1.0,NORMAL
442.0,-380.45909866969856,1.0,NORMAL
443.0,-293.52894016389257,1.0,NORMAL
444.0,726.2707739574837,1.0,NORMAL
445.0,-1075.3607797226703,1.0,NORMAL
446.0,129.56716037747685,1.0,NORMAL
447.0,269.74625889256527,1.0,NORMAL
448.0,-130.07502739528945,1.0,NORMAL
449.0,-160.24843129706133,1.0,NORMAL
450.0,-337.42879800312096,1.0,NORMAL
451.0,-397.9746153220825,1.0,NORMAL
452.0,-416.8318103998381,1.0,NORMAL
453.0,-431.87929360544314,1.0,NORMAL
454.0,-467.943613724981,1.0,NORMAL
455.0,-450.77926056824714,1.0,NORMAL
456.0,-403.6666666666667,1.0,NORMAL
457.0,90.74129610012355,1.0,NORMAL
458.0,-401.64720393771154,1.0,NORMAL
459.0,-415.78386630831545,1.0,NORMAL
460.0,-421.43430475594954,1.0,NORMAL
461.0,-418.4591089504282,1.0,NORMAL
462.0,-397.9226269449643,1.0,NORMAL
463.0,-416.94751264941584,1.0,NORMAL
464.0,-418.46633133562904,1.0,NORMAL
465.0,-411.09477964186715,1.0,NORMAL
466.0,-408.1752360424367,1.0,NORMAL
467.0,-427.9623463120741,1.0,NORMAL
468.0,-420.64153991665336,0.7,HOLIDAY
469.0,-408.64877503780343,0.7,HOLIDAY
470.0,-438.3287171764759,0.7,HOLIDAY
471.0,-421.7016462407604,0.7,HOLIDAY
472.0,-409.570239325488,0.7,HOLIDAY
473.0,-449.69534872187876,0.7,HOLIDAY
474.0,-421.54677374842873,0.7,HOLIDAY
475.0,-425.31846591946515,0.7,HOLIDAY
476.0,-423.7365979149721,0.7,HOLIDAY
477.0,-414.8948033760545,0.7,HOLIDAY
478.0,-388.7861735168453,0.7,HOLIDAY
479.0,-443.72837511178176,0.7,HOLIDAY
480.0,176.64354166666675,0.7,HOLIDAY
481.0,1042.9914544540416,0.7,HOLIDAY
482.0,-310.16495791641154,0.7,HOLIDAY
483.0,-96.73718107316641,0.7,HOLIDAY
484.0,-85.73688893386996,0.7,HOLIDAY
485.0,898.4286733792843,0.7,HOLIDAY
486.0,-278.3827283215691,0.7,HOLIDAY
487.0,276.1281813220583,0.7,HOLIDAY
488.0,-317.5206704449769,0.7,HOLIDAY
489.0,-389.3626115965097,0.7,HOLIDAY
490.0,-376.9294629453202,0.7,HOLIDAY
491.0,-402.7036289372654,0.7,HOLIDAY
492.0,174.55853123041555,0.7,HOLIDAY
493.0,-426.85087953661736,0.7,HOLIDAY
494.0,-427.5126210710012,0.7,HOLIDAY
495.0,-408.2918499225076,0.7,HOLIDAY
496.0,-334.55793024911173,0.7,HOLIDAY
497.0,-356.2131586969942,0.7,HOLIDAY
498.0,-432.2999044289504,0.7,HOLIDAY
499.0,179.8614692353308,0.7,HOLIDAY
500.0,-412.3657604731045,0.7,HOLIDAY
501.0,-450.98835060702083,0.7,HOLIDAY
502.0,-390.47214378521886,0.7,HOLIDAY
503.0,-388.52375466564683,0.7,HOLIDAY
504.0,-343.80796666666663,0.7,HOLIDAY
505.0,-260.6663568072258,0.7,HOLIDAY
506.0,-309.1198780425005,0.7,HOLIDAY
507.0,-267.38263434463266,0.7,HOLIDAY
508.0,301.92362754984805,0.7,HOLIDAY
509.0,-137.78298887724856,0.7,HOLIDAY
510.0,-128.64462149973392,0.7,HOLIDAY
511.0,409.6330942249117,0.7,HOLIDAY
512.0,-228.42758397602992,0.7,HOLIDAY
513.0,-81.23029544770368,0.7,HOLIDAY
514.0,-139.11379625179052,0.7,HOLIDAY
515.0,-221.88458293847233,0.7,HOLIDAY
516.0,-265.4572702345295,0.7,HOLIDAY
517.0,-360.3769318275489,0.7,HOLIDAY
518.0,-374.9665567273293,0.7,HOLIDAY
519.0,-368.7616883353109,0.7,HOLIDAY
520.0,-421.1456030725882,0.7,HOLIDAY
521.0,-434.492129066927,0.7,HOLIDAY
522.0,-428.08633375972533,0.7,HOLIDAY
523.0,-444.9587843239821,0.7,HOLIDAY
524.0,-457.3108209268146,0.7,HOLIDAY
525.0,144.83055451389384,0.7,HOLIDAY
526.0,-442.94126369082574,0.7,HOLIDAY
527.0,-455.8329342039018,0.7,HOLIDAY
528.0,-412.1666666666667,0.7,HOLIDAY
529.0,-413.3225242576614,0.7,HOLIDAY
530.0,-410.2341079872328,0.7,HOLIDAY
531.0,-389.884420949115,0.7,HOLIDAY
532.0,-404.07158393021825,0.7,HOLIDAY
533.0,-422.8249207716017,0.7,HOLIDAY
534.0,-411.0986650699959,0.7,HOLIDAY
535.0,-439.04415446029856,0.7,HOLIDAY
536.0,-427.3619437607151,0.7,HOLIDAY
537.0,-424.5272667637945,0.7,HOLIDAY
538.0,-430.71747803340725,0.7,HOLIDAY
539.0,-427.9623463120741,0.7,HOLIDAY
540.0,1986.8688771401246,0.7,HOLIDAY
541.0,-496.84115531611724,0.7,HOLIDAY
542.0,1300.8752137236154,0.7,HOLIDAY
543.0,-218.20741802720488,0.7,HOLIDAY
544.0,-456.80890953076135,0.7,HOLIDAY
545.0,-459.22595281851346,0.7,HOLIDAY
546.0,-461.74583381786965,0.7,HOLIDAY
547.0,-464.37292795519556,0.7,HOLIDAY
548.0,-467.1117968177074,0.7,HOLIDAY
549.0,-469.9671960740404,0.7,HOLIDAY
550.0,-472.9440837318121,0.7,HOLIDAY
551.0,-476.04762874652033,0.7,HOLIDAY
552.0,-615.7233333333332,0.7,HOLIDAY
553.0,1020.705373968361,0.7,HOLIDAY
554.0,-238.09629541810756,0.7,HOLIDAY
555.0,-116.60141384921036,0.7,HOLIDAY
556.0,-155.63086517264423,0.7,HOLIDAY
557.0,237.6238891542218,0.7,HOLIDAY
558.0,-326.4189032480427,0.7,HOLIDAY
559.0,-396.31013306372387,0.7,HOLIDAY
560.0,189.7089724891526,0.7,HOLIDAY
561.0,-420.0497710564854,0.7,HOLIDAY
562.0,-430.71747803340725,0.7,HOLIDAY
563.0,-441.5845004029248,0.7,HOLIDAY
564.0,-434.36462182270355,0.7,HOLIDAY
565.0,-408.64877503780343,0.7,HOLIDAY
566.0,-424.3907144379923,0.7,HOLIDAY
567.0,-417.0175232620443,0.7,HOLIDAY
568.0,160.56042557187533,0.7,HOLIDAY
569.0,-439.30699025654684,0.7,HOLIDAY
570.0,173.22781596376672,0.7,HOLIDAY
571.0,148.61277404216463,0.7,HOLIDAY
572.0,196.55928382917986,0.7,HOLIDAY
573.0,-409.03367931449645,0.7,HOLIDAY
574.0,-387.81508224151867,0.7,HOLIDAY
575.0,-332.9053552207842,0.7,HOLIDAY
576.0,319.98673333333335,0.7,HOLIDAY
577.0,-188.869667087866,0.7,HOLIDAY
578.0,440.4086884873914,0.7,HOLIDAY
579.0,-120.91892956626124,0.7,HOLIDAY
580.0,394.5600610272725,0.7,HOLIDAY
581.0,-914.1567539703989,0.7,HOLIDAY
582.0,935.6491162318589,0.7,HOLIDAY
583.0,291.55425704692533,0.7,HOLIDAY
584.0,-440.7053623983443,0.7,HOLIDAY
585.0,-442.43724959303086,0.7,HOLIDAY
586.0,-444.24282322798956,0.7,HOLIDAY
587.0,-446.1252184332084,0.7,HOLIDAY
588.0,-448.08770372875375,0.7,HOLIDAY
589.0,-450.13368670010544,0.7,HOLIDAY
590.0,-452.26671991495954,0.7,HOLIDAY
591.0,-454.49050709177317,0.7,HOLIDAY
592.0,-456.80890953076135,0.7,HOLIDAY
593.0,-459.22595281851346,0.7,HOLIDAY
594.0,-461.74583381786965,0.7,HOLIDAY
595.0,-464.37292795519556,0.7,HOLIDAY
596.0,-467.1117968177074,0.7,HOLIDAY
597.0,-469.9671960740404,0.7,HOLIDAY
